TOP 5:
word:       hopefully; TF: 0.000039; IDF: 1.945910; TF-IDF: 0.000076
word:            each; TF: 0.000705; IDF: 0.074108; TF-IDF: 0.000052
word:       sacrifice; TF: 0.000078; IDF: 0.441833; TF-IDF: 0.000035
word:      distinctly; TF: 0.000078; IDF: 0.693147; TF-IDF: 0.000054
word:         general; TF: 0.000118; IDF: 0.074108; TF-IDF: 0.000009
word:            near; TF: 0.000274; IDF: 0.074108; TF-IDF: 0.000020
word:      unpleasant; TF: 0.000078; IDF: 0.336472; TF-IDF: 0.000026
word:        occupied; TF: 0.000118; IDF: 0.241162; TF-IDF: 0.000028
word:            neck; TF: 0.000118; IDF: 0.241162; TF-IDF: 0.000028
word:          leaned; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:            need; TF: 0.000313; IDF: 0.074108; TF-IDF: 0.000023
word:          infirm; TF: 0.000039; IDF: 1.945910; TF-IDF: 0.000076
word:      recognised; TF: 0.000039; IDF: 0.559616; TF-IDF: 0.000022
word:         alarmed; TF: 0.000039; IDF: 0.336472; TF-IDF: 0.000013
word:            wide; TF: 0.000196; IDF: 0.074108; TF-IDF: 0.000015
word:         leather; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:       irritably; TF: 0.000039; IDF: 1.252763; TF-IDF: 0.000049
word:          limply; TF: 0.000039; IDF: 1.029619; TF-IDF: 0.000040
word:         visitor; TF: 0.000078; IDF: 0.693147; TF-IDF: 0.000054
word:            wife; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:     generations; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:          feared; TF: 0.000039; IDF: 0.241162; TF-IDF: 0.000009
word:    distributing; TF: 0.000274; IDF: 0.074108; TF-IDF: 0.000020
word:         learned; TF: 0.000196; IDF: 0.074108; TF-IDF: 0.000015
word:            earn; TF: 0.000235; IDF: 0.559616; TF-IDF: 0.000132
word:    distribution; TF: 0.000235; IDF: 0.074108; TF-IDF: 0.000017
word:            ears; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:            ease; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:            wild; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:            will; TF: 0.000666; IDF: 0.074108; TF-IDF: 0.000049
word:            easy; TF: 0.000313; IDF: 0.074108; TF-IDF: 0.000023
word:          hugged; TF: 0.000039; IDF: 0.847298; TF-IDF: 0.000033
word:     unsolicited; TF: 0.000078; IDF: 0.074108; TF-IDF: 0.000006
word:            wind; TF: 0.000039; IDF: 0.074108; TF-IDF: 0.000003
word:      immaculate; TF: 0.000039; IDF: 1.540445; TF-IDF: 0.000060
word:            wink; TF: 0.000039; IDF: 0.336472; TF-IDF: 0.000013
word:           reads; TF: 0.000039; IDF: 0.847298; TF-IDF: 0.000033
word:           enter; TF: 0.000118; IDF: 0.154151; TF-IDF: 0.000018
word:           ready; TF: 0.000157; IDF: 0.074108; TF-IDF: 0.000012
word:         emptied; TF: 0.000039; IDF: 0.847298; TF-IDF: 0.000033
word:            such; TF: 0.000392; IDF: 0.074108; TF-IDF: 0.000029
word:          august; TF: 0.000039; IDF: 0.336472; TF-IDF: 0.000013
word:            wipe; TF: 0.000039; IDF: 0.693147; TF-IDF: 0.000027
word:           voice; TF: 0.000666; IDF: 0.154151; TF-IDF: 0.000103
word:           sleep; TF: 0.000548; IDF: 0.154151; TF-IDF: 0.000085
word:          locked; TF: 0.000196; IDF: 0.336472; TF-IDF: 0.000066
word:            wise; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:            wish; TF: 0.000157; IDF: 0.074108; TF-IDF: 0.000012
word:   understanding; TF: 0.000118; IDF: 0.241162; TF-IDF: 0.000028
word:            news; TF: 0.000118; IDF: 0.154151; TF-IDF: 0.000018
word:            with; TF: 0.009676; IDF: 0.000000; TF-IDF: 0.000000
word:       recognise; TF: 0.000039; IDF: 1.252763; TF-IDF: 0.000049
word:            next; TF: 0.000705; IDF: 0.074108; TF-IDF: 0.000052
word:        hospital; TF: 0.000078; IDF: 0.693147; TF-IDF: 0.000054
word:           scalp; TF: 0.000039; IDF: 0.154151; TF-IDF: 0.000006
word:       positions; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:        suffered; TF: 0.000078; IDF: 0.336472; TF-IDF: 0.000026
word:         medical; TF: 0.000039; IDF: 0.559616; TF-IDF: 0.000022
word:            sunk; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:          recent; TF: 0.000039; IDF: 0.441833; TF-IDF: 0.000017
word:         curious; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:           slept; TF: 0.000078; IDF: 0.241162; TF-IDF: 0.000019
word:            sure; TF: 0.000235; IDF: 0.154151; TF-IDF: 0.000036
word:        entering; TF: 0.000078; IDF: 0.336472; TF-IDF: 0.000026
word:           human; TF: 0.000196; IDF: 0.154151; TF-IDF: 0.000030
word:     emergencies; TF: 0.000039; IDF: 1.540445; TF-IDF: 0.000060
