TOP 5:
word:        formerly; TF: 0.000095; IDF: 0.441833; TF-IDF: 0.000042
word:       commended; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:         smaller; TF: 0.000038; IDF: 0.336472; TF-IDF: 0.000013
word:          cancel; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:         firstly; TF: 0.000114; IDF: 1.540445; TF-IDF: 0.000176
word:        syracuse; TF: 0.000095; IDF: 1.945910; TF-IDF: 0.000185
word:          aliens; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:        goodwill; TF: 0.000209; IDF: 0.847298; TF-IDF: 0.000177
word:   comparatively; TF: 0.000019; IDF: 0.441833; TF-IDF: 0.000008
word:         insists; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:          dashed; TF: 0.000057; IDF: 0.241162; TF-IDF: 0.000014
word:           paved; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:            lieu; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:            life; TF: 0.000570; IDF: 0.074108; TF-IDF: 0.000042
word:         vanilla; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:        precepts; TF: 0.000038; IDF: 1.945910; TF-IDF: 0.000074
word:           never; TF: 0.001330; IDF: 0.074108; TF-IDF: 0.000099
word:          entity; TF: 0.000057; IDF: 0.074108; TF-IDF: 0.000004
word:     combination; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:        dejected; TF: 0.000019; IDF: 0.693147; TF-IDF: 0.000013
word:           lived; TF: 0.000228; IDF: 0.074108; TF-IDF: 0.000017
word:         saluted; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:           pavia; TF: 0.000057; IDF: 1.945910; TF-IDF: 0.000111
word:           lives; TF: 0.000095; IDF: 0.074108; TF-IDF: 0.000007
word:           fatal; TF: 0.000038; IDF: 0.441833; TF-IDF: 0.000017
word:       mountains; TF: 0.000152; IDF: 0.441833; TF-IDF: 0.000067
word:            like; TF: 0.000418; IDF: 0.074108; TF-IDF: 0.000031
word:        imparted; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:       defensive; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:  discriminating; TF: 0.000019; IDF: 1.945910; TF-IDF: 0.000037
word:         replace; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:      celebrated; TF: 0.000038; IDF: 0.559616; TF-IDF: 0.000021
word:           livio; TF: 0.000019; IDF: 0.336472; TF-IDF: 0.000006
word:          banner; TF: 0.000019; IDF: 1.252763; TF-IDF: 0.000024
word:  discrimination; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:            line; TF: 0.000095; IDF: 0.074108; TF-IDF: 0.000007
word:            john; TF: 0.000057; IDF: 0.336472; TF-IDF: 0.000019
word:            link; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:         implied; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:     governments; TF: 0.000076; IDF: 1.945910; TF-IDF: 0.000148
word:          longer; TF: 0.000323; IDF: 0.074108; TF-IDF: 0.000024
word:        overcome; TF: 0.000209; IDF: 0.336472; TF-IDF: 0.000070
word:         implies; TF: 0.000019; IDF: 0.336472; TF-IDF: 0.000006
word:            join; TF: 0.000076; IDF: 0.074108; TF-IDF: 0.000006
word:            lion; TF: 0.000114; IDF: 0.336472; TF-IDF: 0.000038
word:        barriers; TF: 0.000057; IDF: 0.847298; TF-IDF: 0.000048
word:        warranty; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:         certain; TF: 0.000247; IDF: 0.074108; TF-IDF: 0.000018
word:            lips; TF: 0.000019; IDF: 0.074108; TF-IDF: 0.000001
word:        succeeds; TF: 0.000019; IDF: 0.847298; TF-IDF: 0.000016
word:        cenotaph; TF: 0.000019; IDF: 1.540445; TF-IDF: 0.000029
word:           thick; TF: 0.000019; IDF: 0.154151; TF-IDF: 0.000003
word:            huge; TF: 0.000019; IDF: 0.559616; TF-IDF: 0.000011
word:      attraction; TF: 0.000019; IDF: 0.336472; TF-IDF: 0.000006
word:            list; TF: 0.000019; IDF: 0.154151; TF-IDF: 0.000003
word:         morning; TF: 0.000152; IDF: 0.074108; TF-IDF: 0.000011
word:        previous; TF: 0.000038; IDF: 0.074108; TF-IDF: 0.000003
word:       desirable; TF: 0.000038; IDF: 0.693147; TF-IDF: 0.000026
word:       condition; TF: 0.000057; IDF: 0.154151; TF-IDF: 0.000009
word:        insulted; TF: 0.000019; IDF: 1.029619; TF-IDF: 0.000020
word:         utterly; TF: 0.000057; IDF: 0.441833; TF-IDF: 0.000025
