TOP 5:
word:            wept; TF: 0.000042; IDF: 0.773190; TF-IDF: 0.000033
word:        checking; TF: 0.000021; IDF: 1.178655; TF-IDF: 0.000025
word:   consideration; TF: 0.000099; IDF: 0.262364; TF-IDF: 0.000026
word:        haunches; TF: 0.000007; IDF: 1.178655; TF-IDF: 0.000008
word:       atonement; TF: 0.000007; IDF: 0.485508; TF-IDF: 0.000003
word:          thrice; TF: 0.000021; IDF: 0.955511; TF-IDF: 0.000020
word:          ebbing; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:          fellow; TF: 0.000360; IDF: 0.167054; TF-IDF: 0.000060
word:          fourth; TF: 0.000021; IDF: 0.262364; TF-IDF: 0.000006
word:            aims; TF: 0.000007; IDF: 0.773190; TF-IDF: 0.000005
word:            were; TF: 0.004672; IDF: 0.080043; TF-IDF: 0.000374
word:        strained; TF: 0.000035; IDF: 0.955511; TF-IDF: 0.000034
word:        swinging; TF: 0.000071; IDF: 0.367725; TF-IDF: 0.000026
word:         rightly; TF: 0.000014; IDF: 0.262364; TF-IDF: 0.000004
word:        clearing; TF: 0.000007; IDF: 0.619039; TF-IDF: 0.000004
word:           birds; TF: 0.000071; IDF: 0.367725; TF-IDF: 0.000026
word:            wery; TF: 0.000007; IDF: 1.466337; TF-IDF: 0.000010
word:        bursting; TF: 0.000049; IDF: 1.178655; TF-IDF: 0.000058
word:         nowhere; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:      abhorrence; TF: 0.000007; IDF: 1.871802; TF-IDF: 0.000013
word:      staircases; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000017
word:            west; TF: 0.000035; IDF: 0.080043; TF-IDF: 0.000003
word:        quarters; TF: 0.000035; IDF: 0.367725; TF-IDF: 0.000013
word:          golden; TF: 0.000233; IDF: 0.773190; TF-IDF: 0.000180
word:       dominions; TF: 0.000014; IDF: 1.871802; TF-IDF: 0.000026
word:          thrift; TF: 0.000014; IDF: 1.466337; TF-IDF: 0.000021
word:        grumbled; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:    unornamental; TF: 0.000007; IDF: 2.564949; TF-IDF: 0.000018
