TOP 5:
word:            wept; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:   consideration; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       moralists; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       atonement; TF: 0.000060; IDF: 0.693147; TF-IDF: 0.000042
word:   spiritualizes; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          fellow; TF: 0.000263; IDF: 0.693147; TF-IDF: 0.000183
word:          fourth; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            aims; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:            were; TF: 0.003006; IDF: 0.693147; TF-IDF: 0.002084
word:        strained; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:        swinging; TF: 0.000036; IDF: 0.693147; TF-IDF: 0.000025
word:           birds; TF: 0.000132; IDF: 0.693147; TF-IDF: 0.000091
word:          christ; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:     reputations; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:            west; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:        quarters; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       octagonal; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:     crucifixion; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          golden; TF: 0.000108; IDF: 0.693147; TF-IDF: 0.000075
word:          thrift; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        grumbled; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:           slain; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:           patti; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:           yield; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          welled; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          quiver; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       donations; TF: 0.000180; IDF: 0.693147; TF-IDF: 0.000125
word:           organ; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          united; TF: 0.000120; IDF: 0.693147; TF-IDF: 0.000083
word:         eagerly; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       breakfast; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          lonely; TF: 0.000072; IDF: 0.693147; TF-IDF: 0.000050
word:      conditions; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:          recall; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        crucible; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:        inquired; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:         textile; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:       reflected; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:           sacks; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          thrill; TF: 0.000048; IDF: 0.693147; TF-IDF: 0.000033
word:          peries; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:      conception; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:        clenched; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       sculpture; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:       statement; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:          rimini; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      sputtering; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         manager; TF: 0.000024; IDF: 0.693147; TF-IDF: 0.000017
word:      newsletter; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:      statements; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:     appearances; TF: 0.000012; IDF: 0.693147; TF-IDF: 0.000008
word:         virtues; TF: 0.000084; IDF: 0.693147; TF-IDF: 0.000058
