TOP 5:
word:         limited; TF: 0.000164; IDF: 0.074108; TF-IDF: 0.000012
word:            paid; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:         belongs; TF: 0.000066; IDF: 0.336472; TF-IDF: 0.000022
word:            pair; TF: 0.000164; IDF: 0.154151; TF-IDF: 0.000025
word:   uncomfortable; TF: 0.000131; IDF: 0.241162; TF-IDF: 0.000032
word:   uncomfortably; TF: 0.000033; IDF: 1.945910; TF-IDF: 0.000064
word:            pale; TF: 0.000131; IDF: 0.241162; TF-IDF: 0.000032
word:         hurried; TF: 0.000362; IDF: 0.154151; TF-IDF: 0.000056
word:        sluggard; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:       introduce; TF: 0.000066; IDF: 0.241162; TF-IDF: 0.000016
word:     mississippi; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:            yelp; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:            part; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:            pass; TF: 0.000033; IDF: 0.154151; TF-IDF: 0.000005
word:            past; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:         putting; TF: 0.000099; IDF: 0.074108; TF-IDF: 0.000007
word:         curving; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:         between; TF: 0.000197; IDF: 0.074108; TF-IDF: 0.000015
word:            swam; TF: 0.000164; IDF: 1.540445; TF-IDF: 0.000253
word:            paws; TF: 0.000131; IDF: 1.029619; TF-IDF: 0.000135
word:       extremely; TF: 0.000066; IDF: 0.241162; TF-IDF: 0.000016
word:          supple; TF: 0.000033; IDF: 1.029619; TF-IDF: 0.000034
word:           sweet; TF: 0.000033; IDF: 0.241162; TF-IDF: 0.000008
word:           snail; TF: 0.000099; IDF: 1.252763; TF-IDF: 0.000124
word:          throat; TF: 0.000066; IDF: 0.241162; TF-IDF: 0.000016
word:          calmly; TF: 0.000033; IDF: 0.336472; TF-IDF: 0.000011
word:   circumstances; TF: 0.000033; IDF: 0.154151; TF-IDF: 0.000005
word:          guinea; TF: 0.000197; IDF: 0.847298; TF-IDF: 0.000167
word:            city; TF: 0.000033; IDF: 0.074108; TF-IDF: 0.000002
word:            swim; TF: 0.000164; IDF: 0.693147; TF-IDF: 0.000114
word:          middle; TF: 0.000263; IDF: 0.074108; TF-IDF: 0.000019
word:           heads; TF: 0.000329; IDF: 0.154151; TF-IDF: 0.000051
word:         michael; TF: 0.000066; IDF: 0.074108; TF-IDF: 0.000005
word:         folding; TF: 0.000033; IDF: 0.847298; TF-IDF: 0.000028
word:       longitude; TF: 0.000066; IDF: 2.639057; TF-IDF: 0.000174
word:        shedding; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
word:          softly; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:         yawning; TF: 0.000066; IDF: 0.559616; TF-IDF: 0.000037
word:          shiver; TF: 0.000033; IDF: 0.559616; TF-IDF: 0.000018
word:          ravens; TF: 0.000033; IDF: 2.639057; TF-IDF: 0.000087
word:         minding; TF: 0.000033; IDF: 1.252763; TF-IDF: 0.000041
