TOP 5:
word:          strips; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:            spin; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:         packing; TF: 0.000019; IDF: 0.773190; TF-IDF: 0.000015
word:           avoid; TF: 0.000108; IDF: 0.167054; TF-IDF: 0.000018
word:           paste; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:         century; TF: 0.000006; IDF: 0.773190; TF-IDF: 0.000004
word:        rapidity; TF: 0.000028; IDF: 0.773190; TF-IDF: 0.000021
word:        inhaling; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:       enviously; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:           flood; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         bedroom; TF: 0.000100; IDF: 0.367725; TF-IDF: 0.000037
word:           floor; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:     disclaimers; TF: 0.000003; IDF: 0.080043; TF-IDF: 0.000000
word:          fleurs; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:  impoverishment; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:          riddle; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000013
word:           vodka; TF: 0.000044; IDF: 2.564949; TF-IDF: 0.000114
word:          popped; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:        puckered; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000016
word:      bewitching; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:        dreadful; TF: 0.000022; IDF: 0.367725; TF-IDF: 0.000008
word:           crony; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:         brimmed; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:           drive; TF: 0.000166; IDF: 0.080043; TF-IDF: 0.000013
word:        pocketed; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:          strive; TF: 0.000006; IDF: 1.178655; TF-IDF: 0.000007
word:       celebrity; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:            spot; TF: 0.000061; IDF: 0.080043; TF-IDF: 0.000005
word:           crops; TF: 0.000011; IDF: 1.466337; TF-IDF: 0.000016
word:         revenez; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          lounge; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:         revenge; TF: 0.000006; IDF: 0.619039; TF-IDF: 0.000003
word:    civilization; TF: 0.000011; IDF: 0.955511; TF-IDF: 0.000011
word:           wiped; TF: 0.000011; IDF: 0.485508; TF-IDF: 0.000005
word:     individuals; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:           flour; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:       inferiors; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:      carelessly; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:     manuscripts; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:           cross; TF: 0.000077; IDF: 0.080043; TF-IDF: 0.000006
word:          tilted; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:        ushering; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:        devoutly; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:         kingdom; TF: 0.000006; IDF: 0.619039; TF-IDF: 0.000003
word:     interpreted; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:         blouses; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:     established; TF: 0.000019; IDF: 0.485508; TF-IDF: 0.000009
word:    jurisdiction; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:     interpreter; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:        vinaigre; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:     revolutions; TF: 0.000006; IDF: 0.773190; TF-IDF: 0.000004
word:   argumentative; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:           croup; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:         vronsky; TF: 0.002385; IDF: 2.564949; TF-IDF: 0.006117
word:      challenged; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:    bewilderment; TF: 0.000011; IDF: 1.178655; TF-IDF: 0.000013
word:    exasperating; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:           crowd; TF: 0.000138; IDF: 0.262364; TF-IDF: 0.000036
word:          unison; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:    exasperation; TF: 0.000019; IDF: 1.466337; TF-IDF: 0.000028
word:           crown; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:       anomalous; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:            weak; TF: 0.000039; IDF: 0.080043; TF-IDF: 0.000003
word:            weal; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           crows; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          deputy; TF: 0.000011; IDF: 1.466337; TF-IDF: 0.000016
word:            wear; TF: 0.000011; IDF: 0.262364; TF-IDF: 0.000003
word:          peeped; TF: 0.000119; IDF: 0.262364; TF-IDF: 0.000031
word:          lather; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:        realized; TF: 0.000061; IDF: 1.178655; TF-IDF: 0.000072
word:       political; TF: 0.000064; IDF: 0.485508; TF-IDF: 0.000031
word:          velvet; TF: 0.000041; IDF: 0.619039; TF-IDF: 0.000026
word:         uniting; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:         asserts; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:     unceasingly; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000016
word:        realizes; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:        fretting; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:         propose; TF: 0.000003; IDF: 0.485508; TF-IDF: 0.000001
word:           topic; TF: 0.000022; IDF: 0.773190; TF-IDF: 0.000017
word:       unharness; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:         sokolov; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:           minds; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:          doings; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:           brush; TF: 0.000006; IDF: 0.619039; TF-IDF: 0.000003
word:        impelled; TF: 0.000011; IDF: 0.485508; TF-IDF: 0.000005
word:          circle; TF: 0.000138; IDF: 0.080043; TF-IDF: 0.000011
word:          saying; TF: 0.000423; IDF: 0.080043; TF-IDF: 0.000034
word:       campaigns; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:           brute; TF: 0.000003; IDF: 0.773190; TF-IDF: 0.000002
word:          feeble; TF: 0.000011; IDF: 0.485508; TF-IDF: 0.000005
word:        survived; TF: 0.000003; IDF: 0.619039; TF-IDF: 0.000002
word:         speckly; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:            weed; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:       invisible; TF: 0.000003; IDF: 0.485508; TF-IDF: 0.000001
word:            week; TF: 0.000053; IDF: 0.167054; TF-IDF: 0.000009
word:           patch; TF: 0.000017; IDF: 0.485508; TF-IDF: 0.000008
word:          feebly; TF: 0.000011; IDF: 0.619039; TF-IDF: 0.000007
word:          commis; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:          voices; TF: 0.000091; IDF: 0.262364; TF-IDF: 0.000024
word:        respects; TF: 0.000014; IDF: 0.773190; TF-IDF: 0.000011
word:            nail; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:         courage; TF: 0.000039; IDF: 0.167054; TF-IDF: 0.000006
word:        interval; TF: 0.000022; IDF: 0.773190; TF-IDF: 0.000017
word:         emperor; TF: 0.000006; IDF: 0.955511; TF-IDF: 0.000005
word:         bounces; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:        absolute; TF: 0.000006; IDF: 0.485508; TF-IDF: 0.000003
word:      discussing; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:         cottage; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:           vivid; TF: 0.000017; IDF: 0.773190; TF-IDF: 0.000013
word:     haughtiness; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:        highroad; TF: 0.000022; IDF: 0.773190; TF-IDF: 0.000017
word:          nights; TF: 0.000014; IDF: 0.619039; TF-IDF: 0.000009
word:           jones; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:      discussion; TF: 0.000083; IDF: 0.485508; TF-IDF: 0.000040
word:          elders; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:          giving; TF: 0.000185; IDF: 0.080043; TF-IDF: 0.000015
word:      performing; TF: 0.000022; IDF: 0.080043; TF-IDF: 0.000002
word:     unsatisfied; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:            aide; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000016
word:         english; TF: 0.000185; IDF: 0.000000; TF-IDF: 0.000000
word:         immense; TF: 0.000083; IDF: 0.619039; TF-IDF: 0.000051
word:         nosegay; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:   deceitfulness; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:          eldest; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000013
word:            name; TF: 0.000166; IDF: 0.080043; TF-IDF: 0.000013
word:      tendencies; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:         surname; TF: 0.000011; IDF: 1.466337; TF-IDF: 0.000016
word:       confusing; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:       himmlisch; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:         revenue; TF: 0.000006; IDF: 0.080043; TF-IDF: 0.000000
word:     photographs; TF: 0.000011; IDF: 1.871802; TF-IDF: 0.000021
word:       seclusion; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:           paths; TF: 0.000011; IDF: 0.955511; TF-IDF: 0.000011
word:        drifting; TF: 0.000006; IDF: 0.773190; TF-IDF: 0.000004
word:       confusion; TF: 0.000058; IDF: 0.367725; TF-IDF: 0.000021
word:        promised; TF: 0.000124; IDF: 0.262364; TF-IDF: 0.000033
word:          common; TF: 0.000111; IDF: 0.167054; TF-IDF: 0.000018
word:         retinue; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:         dustmen; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:            well; TF: 0.001856; IDF: 0.080043; TF-IDF: 0.000149
word:            nape; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:        thrashed; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000016
word:          inmost; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:          guests; TF: 0.000083; IDF: 0.773190; TF-IDF: 0.000064
word:          stifle; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:        thrasher; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:        parmenov; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:         remarks; TF: 0.000028; IDF: 0.485508; TF-IDF: 0.000013
word:           farce; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:           topsy; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:         relaxed; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:          circus; TF: 0.000003; IDF: 0.773190; TF-IDF: 0.000002
word:          answer; TF: 0.000404; IDF: 0.080043; TF-IDF: 0.000032
word:          sledge; TF: 0.000072; IDF: 1.871802; TF-IDF: 0.000135
word:        plucking; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:          aiming; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:            wenn; TF: 0.000006; IDF: 1.871802; TF-IDF: 0.000010
word:     contemplate; TF: 0.000006; IDF: 0.955511; TF-IDF: 0.000005
word:            went; TF: 0.001829; IDF: 0.080043; TF-IDF: 0.000146
word:         eletsky; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:      vouchsafed; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:          nastia; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:         unknown; TF: 0.000097; IDF: 0.167054; TF-IDF: 0.000016
word:       drunkards; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:           fares; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:         fainter; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:        checking; TF: 0.000014; IDF: 1.178655; TF-IDF: 0.000016
word:          bureau; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:          canary; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:           birch; TF: 0.000066; IDF: 2.564949; TF-IDF: 0.000170
word:   consideration; TF: 0.000044; IDF: 0.262364; TF-IDF: 0.000012
word:          commun; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:        haunches; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:       atonement; TF: 0.000011; IDF: 0.485508; TF-IDF: 0.000005
word:       steadfast; TF: 0.000003; IDF: 0.955511; TF-IDF: 0.000003
word:          fellow; TF: 0.000191; IDF: 0.167054; TF-IDF: 0.000032
word:    guardianship; TF: 0.000006; IDF: 1.466337; TF-IDF: 0.000008
word:          fourth; TF: 0.000019; IDF: 0.262364; TF-IDF: 0.000005
word:            aims; TF: 0.000006; IDF: 0.773190; TF-IDF: 0.000004
word:            were; TF: 0.003417; IDF: 0.080043; TF-IDF: 0.000273
word:        strained; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000032
word:      incredibly; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:        swinging; TF: 0.000041; IDF: 0.367725; TF-IDF: 0.000015
word:         rightly; TF: 0.000025; IDF: 0.262364; TF-IDF: 0.000007
word:       sophistry; TF: 0.000003; IDF: 2.564949; TF-IDF: 0.000007
word:        clearing; TF: 0.000014; IDF: 0.619039; TF-IDF: 0.000009
word:           birds; TF: 0.000039; IDF: 0.367725; TF-IDF: 0.000014
word:          christ; TF: 0.000064; IDF: 0.955511; TF-IDF: 0.000061
word:     controlling; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:            navy; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:        bursting; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:         nowhere; TF: 0.000014; IDF: 0.485508; TF-IDF: 0.000007
word:      organizing; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:            west; TF: 0.000006; IDF: 0.080043; TF-IDF: 0.000000
word:          crests; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:        quarters; TF: 0.000055; IDF: 0.367725; TF-IDF: 0.000020
word:       heartfelt; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          golden; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:         eclipse; TF: 0.000003; IDF: 1.871802; TF-IDF: 0.000005
word:          astute; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:      consequent; TF: 0.000011; IDF: 0.955511; TF-IDF: 0.000011
word:         propped; TF: 0.000044; IDF: 0.262364; TF-IDF: 0.000012
word:         reforms; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        pyevtsov; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:           patti; TF: 0.000014; IDF: 1.466337; TF-IDF: 0.000020
word:           yield; TF: 0.000014; IDF: 0.367725; TF-IDF: 0.000005
word:           local; TF: 0.000014; IDF: 0.955511; TF-IDF: 0.000013
word:        exacting; TF: 0.000003; IDF: 1.178655; TF-IDF: 0.000003
word:         varyagi; TF: 0.000003; IDF: 1.466337; TF-IDF: 0.000004
word:          quiver; TF: 0.000022; IDF: 0.619039; TF-IDF: 0.000014
word:       donations; TF: 0.000116; IDF: 0.080043; TF-IDF: 0.000009
word:            airs; TF: 0.000006; IDF: 0.485508; TF-IDF: 0.000003
word:      sventitsky; TF: 0.000006; IDF: 2.564949; TF-IDF: 0.000014
word:         talents; TF: 0.000003; IDF: 0.773190; TF-IDF: 0.000002
word:           organ; TF: 0.000006; IDF: 1.178655; TF-IDF: 0.000007
