TOP 5:
word:         forsook; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:         managed; TF: 0.000017; IDF: 0.262364; TF-IDF: 0.000004
word:           hagan; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:      newsletter; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:         skimmed; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:        referrin; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:      statements; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:         renamed; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:      navigating; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:        included; TF: 0.000025; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:           rails; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:           birth; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:          rubbed; TF: 0.000050; IDF: 0.367725; TF-IDF: 0.000018
word:      navigation; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           slave; TF: 0.000050; IDF: 0.619039; TF-IDF: 0.000031
word:       ourselves; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:         carcass; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:         puzzled; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:       commenced; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:           rains; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:           rainy; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000010
word:     faithfuller; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:         butcher; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         bounded; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         bounden; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:          demand; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:           raise; TF: 0.000149; IDF: 0.262364; TF-IDF: 0.000039
word:        examined; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:         protect; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:         charles; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
