TOP 5:
word:         figured; TF: 0.000072; IDF: 0.485508; TF-IDF: 0.000035
word:         insists; TF: 0.000012; IDF: 0.619039; TF-IDF: 0.000007
word:         figures; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:            lido; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:         feather; TF: 0.000012; IDF: 0.262364; TF-IDF: 0.000003
word:            lids; TF: 0.000036; IDF: 0.955511; TF-IDF: 0.000034
word:          entire; TF: 0.000036; IDF: 0.262364; TF-IDF: 0.000009
word:          poetry; TF: 0.000072; IDF: 0.619039; TF-IDF: 0.000044
word:           paved; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000019
word:           paven; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:       unselfish; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:            lies; TF: 0.000012; IDF: 0.485508; TF-IDF: 0.000006
word:            lieu; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:         charmed; TF: 0.000108; IDF: 0.773190; TF-IDF: 0.000083
word:            life; TF: 0.002779; IDF: 0.080043; TF-IDF: 0.000222
word:         exhaust; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:        bewilder; TF: 0.000024; IDF: 1.871802; TF-IDF: 0.000045
word:         vanilla; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:            lift; TF: 0.000012; IDF: 0.367725; TF-IDF: 0.000004
word:      gauntleted; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:        warnings; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:    unreasonable; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:            joan; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:           never; TF: 0.002156; IDF: 0.080043; TF-IDF: 0.000173
word:          entity; TF: 0.000036; IDF: 0.080043; TF-IDF: 0.000003
word:          precis; TF: 0.000012; IDF: 2.564949; TF-IDF: 0.000031
word:            cell; TF: 0.000048; IDF: 0.619039; TF-IDF: 0.000030
word:           lived; TF: 0.000144; IDF: 0.080043; TF-IDF: 0.000012
word:       appetites; TF: 0.000012; IDF: 0.955511; TF-IDF: 0.000011
word:          hoxton; TF: 0.000012; IDF: 1.871802; TF-IDF: 0.000022
word:           lives; TF: 0.000287; IDF: 0.080043; TF-IDF: 0.000023
word:           fatal; TF: 0.000120; IDF: 0.485508; TF-IDF: 0.000058
word:        glancing; TF: 0.000036; IDF: 0.367725; TF-IDF: 0.000013
word:            yard; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
word:       tightened; TF: 0.000012; IDF: 1.178655; TF-IDF: 0.000014
word:            cent; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:            like; TF: 0.002551; IDF: 0.080043; TF-IDF: 0.000204
word:       flamelike; TF: 0.000012; IDF: 0.773190; TF-IDF: 0.000009
word:        scandals; TF: 0.000036; IDF: 1.466337; TF-IDF: 0.000053
word:            lily; TF: 0.000012; IDF: 1.466337; TF-IDF: 0.000018
word:      ruisselant; TF: 0.000024; IDF: 0.955511; TF-IDF: 0.000023
word:         replace; TF: 0.000012; IDF: 0.080043; TF-IDF: 0.000001
word:      celebrated; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:         uttered; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
