TOP 5:
word:            suet; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:          useful; TF: 0.000066; IDF: 0.262364; TF-IDF: 0.000017
word:           sleep; TF: 0.000197; IDF: 0.167054; TF-IDF: 0.000033
word:          locked; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:          elbows; TF: 0.000033; IDF: 0.619039; TF-IDF: 0.000020
word:            wise; TF: 0.000066; IDF: 0.167054; TF-IDF: 0.000011
word:            wish; TF: 0.000723; IDF: 0.080043; TF-IDF: 0.000058
word:            with; TF: 0.007495; IDF: 0.000000; TF-IDF: 0.000000
word:            wits; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:            next; TF: 0.001085; IDF: 0.080043; TF-IDF: 0.000087
word:           scale; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:            suit; TF: 0.000099; IDF: 0.167054; TF-IDF: 0.000016
word:           scaly; TF: 0.000033; IDF: 2.564949; TF-IDF: 0.000084
word:      millennium; TF: 0.000033; IDF: 1.871802; TF-IDF: 0.000062
word:          slates; TF: 0.000263; IDF: 1.871802; TF-IDF: 0.000492
word:      complained; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:         violent; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:         curious; TF: 0.000625; IDF: 0.262364; TF-IDF: 0.000164
word:            sure; TF: 0.000789; IDF: 0.167054; TF-IDF: 0.000132
word:           touch; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:         chimney; TF: 0.000197; IDF: 0.485508; TF-IDF: 0.000096
word:         granted; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           globe; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:          length; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:          future; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:            chin; TF: 0.000230; IDF: 0.262364; TF-IDF: 0.000060
word:          called; TF: 0.000493; IDF: 0.080043; TF-IDF: 0.000039
word:         couples; TF: 0.000033; IDF: 0.773190; TF-IDF: 0.000025
word:        entrance; TF: 0.000033; IDF: 0.167054; TF-IDF: 0.000005
word:         journey; TF: 0.000033; IDF: 0.262364; TF-IDF: 0.000009
word:            chop; TF: 0.000033; IDF: 1.178655; TF-IDF: 0.000039
word:         receipt; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:        property; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:       sensation; TF: 0.000066; IDF: 0.367725; TF-IDF: 0.000024
word:      compressed; TF: 0.000033; IDF: 0.080043; TF-IDF: 0.000003
word:           table; TF: 0.000592; IDF: 0.167054; TF-IDF: 0.000099
word:         receive; TF: 0.000099; IDF: 0.080043; TF-IDF: 0.000008
word:            upon; TF: 0.000920; IDF: 0.080043; TF-IDF: 0.000074
word:         watched; TF: 0.000066; IDF: 0.080043; TF-IDF: 0.000005
word:          rabbit; TF: 0.001677; IDF: 0.619039; TF-IDF: 0.001038
word:           flung; TF: 0.000033; IDF: 0.367725; TF-IDF: 0.000012
word:        sixpence; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:        gloomily; TF: 0.000033; IDF: 0.955511; TF-IDF: 0.000031
word:          temper; TF: 0.000164; IDF: 0.367725; TF-IDF: 0.000060
word:          taller; TF: 0.000066; IDF: 0.485508; TF-IDF: 0.000032
word:      remarkable; TF: 0.000066; IDF: 0.167054; TF-IDF: 0.000011
word:           pence; TF: 0.000033; IDF: 1.466337; TF-IDF: 0.000048
