TOP 5:
word:         eagerly; TF: 0.000111; IDF: 0.262364; TF-IDF: 0.000029
word:       breakfast; TF: 0.000207; IDF: 0.262364; TF-IDF: 0.000054
word:      conditions; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:          recall; TF: 0.000016; IDF: 0.485508; TF-IDF: 0.000008
word:        inquired; TF: 0.000064; IDF: 0.262364; TF-IDF: 0.000017
word:      unassuming; TF: 0.000024; IDF: 2.564949; TF-IDF: 0.000061
word:       reflected; TF: 0.000024; IDF: 0.619039; TF-IDF: 0.000015
word:     hospitality; TF: 0.000024; IDF: 0.262364; TF-IDF: 0.000006
word:      conception; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:        referred; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:        scarcity; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:       effusions; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000030
word:    corroborated; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:       delivered; TF: 0.000032; IDF: 0.773190; TF-IDF: 0.000025
word:       statement; TF: 0.000016; IDF: 0.367725; TF-IDF: 0.000006
word:      disputable; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:       practises; TF: 0.000016; IDF: 1.466337; TF-IDF: 0.000023
word:         warrant; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:      steadiness; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000020
word:         managed; TF: 0.000008; IDF: 0.262364; TF-IDF: 0.000002
word:         manager; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:      newsletter; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:          visits; TF: 0.000040; IDF: 0.955511; TF-IDF: 0.000038
word:        agreeing; TF: 0.000024; IDF: 1.178655; TF-IDF: 0.000028
word:      statements; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:     appearances; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:         adorned; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000018
word:         renamed; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:        included; TF: 0.000040; IDF: 0.000000; TF-IDF: 0.000000
word:        includes; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:     fretfulness; TF: 0.000016; IDF: 2.564949; TF-IDF: 0.000041
word:           birth; TF: 0.000040; IDF: 0.485508; TF-IDF: 0.000019
word:      partiality; TF: 0.000103; IDF: 1.178655; TF-IDF: 0.000122
word:           slave; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:       ourselves; TF: 0.000064; IDF: 0.080043; TF-IDF: 0.000005
word:       inquiries; TF: 0.000183; IDF: 0.619039; TF-IDF: 0.000113
word:         puzzled; TF: 0.000008; IDF: 0.485508; TF-IDF: 0.000004
word:           pratt; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000030
word:         cassino; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:      surpassing; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000020
word:          period; TF: 0.000119; IDF: 0.619039; TF-IDF: 0.000074
word:       hesitated; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
word:   disadvantages; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:       depressed; TF: 0.000016; IDF: 0.773190; TF-IDF: 0.000012
word:       emergence; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:         butcher; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:         adopted; TF: 0.000008; IDF: 0.619039; TF-IDF: 0.000005
word:          demand; TF: 0.000032; IDF: 0.080043; TF-IDF: 0.000003
